complexity,loss,equation,score,sympy_format,lambda_format,simulation,parsimony,populations
29,1.9736857,"(min(DST * -0.04846053, (((P_dyn + ((P_dyn / 0.76127464) + P_dyn)) + DST) * -0.08847291) + (min((Ey / -0.44655424) - -0.74894166, 1.0) - -0.10209357)) + 0.13705125) / 1.0544564",3.118433731568794e-05,"(min(DST * -0.04846053, (((P_dyn + ((P_dyn / 0.76127464) + P_dyn)) + DST) * -0.08847291) + (min((Ey / -0.44655424) - -0.74894166, 1.0) - -0.10209357)) + 0.13705125) / 1.0544564","PySRFunction(X=>(min(DST * -0.04846053, (((P_dyn + ((P_dyn / 0.76127464) + P_dyn)) + DST) * -0.08847291) + (min((Ey / -0.44655424) - -0.74894166, 1.0) - -0.10209357)) + 0.13705125) / 1.0544564)",91,0.2670427927476363,99
22,1.9737216,"min(sqrt(P_dyn + 1.0580815) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)",0.0015015156948113716,"min(sqrt(P_dyn + 1.0580815) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)","PySRFunction(X=>min(sqrt(P_dyn + 1.0580815) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912))",35,0.25845130777194564,52
27,1.9738088,"min(DST * -0.04846053, ((((P_dyn / 0.76127464) + (P_dyn + P_dyn)) + DST) * -0.08847291) + (min((Ey / -0.44655424) - -0.74894166, 1.0) - -0.10209357)) + 0.13705125",0.00012299577236195725,"min(DST * -0.04846053, ((((P_dyn / 0.76127464) + (P_dyn + P_dyn)) + DST) * -0.08847291) + (min((Ey / -0.44655424) - -0.74894166, 1.0) - -0.10209357)) + 0.13705125","PySRFunction(X=>min(DST * -0.04846053, ((((P_dyn / 0.76127464) + (P_dyn + P_dyn)) + DST) * -0.08847291) + (min((Ey / -0.44655424) - -0.74894166, 1.0) - -0.10209357)) + 0.13705125)",91,0.2670427927476363,99
30,1.9738095,"min(sqrt(P_dyn) * ((-0.060660042 * (((DST * -0.060660042) + P_dyn) + DST)) - (Ey * 1.2077773)), (((Ey + (P_dyn + -1.7011535)) + P_dyn) + DST) * -0.044673227) - -0.15076445",9.119005305222663e-05,"min(sqrt(P_dyn) * ((-0.060660042 * (((DST * -0.060660042) + P_dyn) + DST)) - (Ey * 1.2077773)), (((Ey + (P_dyn + -1.7011535)) + P_dyn) + DST) * -0.044673227) - -0.15076445","PySRFunction(X=>min(sqrt(P_dyn) * ((-0.060660042 * (((DST * -0.060660042) + P_dyn) + DST)) - (Ey * 1.2077773)), (((Ey + (P_dyn + -1.7011535)) + P_dyn) + DST) * -0.044673227) - -0.15076445)",72,0.6778286138583165,69
29,1.9739484,"min(((0.20462935 + min((1.8415846 + (DST * -0.084869035)) - P_dyn, (DST * -0.084869035) - 1.1516072)) + (1.2021267 - max(0.15516049, Ey))) - Ey, DST * -0.044636276) + 0.16670036",0.0002524251403409403,"min(((0.20462935 + min((1.8415846 + (DST * -0.084869035)) - P_dyn, (DST * -0.084869035) - 1.1516072)) + (1.2021267 - max(0.15516049, Ey))) - Ey, DST * -0.044636276) + 0.16670036","PySRFunction(X=>min(((0.20462935 + min((1.8415846 + (DST * -0.084869035)) - P_dyn, (DST * -0.084869035) - 1.1516072)) + (1.2021267 - max(0.15516049, Ey))) - Ey, DST * -0.044636276) + 0.16670036)",14,0.3494401318627533,57
25,1.9739488,"(sqrt(sqrt(max(min(Ey, P_dyn), P_dyn * 0.11966711))) * (((DST + P_dyn) * -0.07965054) - max(-0.21723673, (Ey * 1.5063215) * 1.0882573))) + 0.10687568",0.00015332393181515734,"(sqrt(sqrt(max(min(Ey, P_dyn), P_dyn * 0.11966711))) * (((DST + P_dyn) * -0.07965054) - max(-0.21723673, (Ey * 1.5063215) * 1.0882573))) + 0.10687568","PySRFunction(X=>(sqrt(sqrt(max(min(Ey, P_dyn), P_dyn * 0.11966711))) * (((DST + P_dyn) * -0.07965054) - max(-0.21723673, (Ey * 1.5063215) * 1.0882573))) + 0.10687568)",28,0.6281431313400103,115
29,1.9739721,"min(((DST + P_dyn) + ((P_dyn + Ey) - 5.1735926)) * -0.047974475, (((DST + (((P_dyn + P_dyn) + (Ey - 5.1735926)) * 1.7460152)) * -0.047974475) - Ey) / 0.50760067)",0.00013103837782326203,"min(((DST + P_dyn) + ((P_dyn + Ey) - 5.1735926)) * -0.047974475, (((DST + (((P_dyn + P_dyn) + (Ey - 5.1735926)) * 1.7460152)) * -0.047974475) - Ey) / 0.50760067)","PySRFunction(X=>min(((DST + P_dyn) + ((P_dyn + Ey) - 5.1735926)) * -0.047974475, (((DST + (((P_dyn + P_dyn) + (Ey - 5.1735926)) * 1.7460152)) * -0.047974475) - Ey) / 0.50760067))",42,0.8720803419182309,28
29,1.9739894,"min(((DST - (P_dyn * -1.1777779)) * -0.05303381) - (((P_dyn + Ey) * -1.1777779) * -0.054330956), sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511))) + square(0.44985384)",3.632172385217781e-05,"min(((DST - (P_dyn * -1.1777779)) * -0.05303381) - (((P_dyn + Ey) * -1.1777779) * -0.054330956), sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511))) + square(0.44985384)","PySRFunction(X=>min(((DST - (P_dyn * -1.1777779)) * -0.05303381) - (((P_dyn + Ey) * -1.1777779) * -0.054330956), sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511))) + square(0.44985384))",16,0.8245378107274485,68
29,1.9739895,"min(sqrt(P_dyn) * ((((sign(DST * -0.060660042) + P_dyn) + DST) * -0.060660042) - (Ey * 1.2077773)), (((Ey + Ey) + P_dyn) + DST) * -0.044673227) - -0.15076445",4.607208387290493e-05,"min(sqrt(P_dyn) * ((((sign(DST * -0.060660042) + P_dyn) + DST) * -0.060660042) - (Ey * 1.2077773)), (((Ey + Ey) + P_dyn) + DST) * -0.044673227) - -0.15076445","PySRFunction(X=>min(sqrt(P_dyn) * ((((sign(DST * -0.060660042) + P_dyn) + DST) * -0.060660042) - (Ey * 1.2077773)), (((Ey + Ey) + P_dyn) + DST) * -0.044673227) - -0.15076445)",72,0.6778286138583165,69
25,1.9740285,"min((DST * -0.08717575) - ((Ey + -2.2688558) + max((Ey + P_dyn) + -1.0, Ey + 1.9839075)), (Ey + (DST / 1.9839075)) * -0.09281234)",6.45824763929199e-05,"min((DST * -0.08717575) - ((Ey + -2.2688558) + max((Ey + P_dyn) + -1.0, Ey + 1.9839075)), (Ey + (DST / 1.9839075)) * -0.09281234)","PySRFunction(X=>min((DST * -0.08717575) - ((Ey + -2.2688558) + max((Ey + P_dyn) + -1.0, Ey + 1.9839075)), (Ey + (DST / 1.9839075)) * -0.09281234))",25,0.3134955963792481,93
28,1.9740611,"min(sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511)), ((DST - ((P_dyn + -0.6408527) * -0.6408527)) * -0.05303381) - ((P_dyn + Ey) * 0.07799842)) + 0.16159461",6.579910463958474e-05,"min(sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511)), ((DST - ((P_dyn + -0.6408527) * -0.6408527)) * -0.05303381) - ((P_dyn + Ey) * 0.07799842)) + 0.16159461","PySRFunction(X=>min(sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511)), ((DST - ((P_dyn + -0.6408527) * -0.6408527)) * -0.05303381) - ((P_dyn + Ey) * 0.07799842)) + 0.16159461)",16,0.8245378107274485,68
27,1.9741714,"min(sqrt(P_dyn) * (((P_dyn + (Ey + (DST + sign(-0.53904784)))) * -0.060660042) - (Ey * 1.2077773)), (P_dyn + (Ey + DST)) * -0.04703429) - -0.15076445",5.819993970426832e-05,"min(sqrt(P_dyn) * (((P_dyn + (Ey + (DST + sign(-0.53904784)))) * -0.060660042) - (Ey * 1.2077773)), (P_dyn + (Ey + DST)) * -0.04703429) - -0.15076445","PySRFunction(X=>min(sqrt(P_dyn) * (((P_dyn + (Ey + (DST + sign(-0.53904784)))) * -0.060660042) - (Ey * 1.2077773)), (P_dyn + (Ey + DST)) * -0.04703429) - -0.15076445)",72,0.6778286138583165,69
