complexity,loss,score,equation,sympy_format,lambda_format,simulation,parsimony,populations
5,2.1254537,0.002876014490246534,"min(0.56732255 - Ey, 0.4295394)","Piecewise((0.56732255 - Ey, Ey - 0.56732255 > -0.4295394), (0.4295394, True))","PySRFunction(X=>Piecewise((0.56732255 - Ey, Ey - 0.56732255 > -0.4295394), (0.4295394, True)))",21,0.3665947655023927,54
5,2.1260183,0.002678584159179336,"0.77387774 - max(0.26669607, Ey)","0.77387774 - Piecewise((Ey, Ey > 0.26669607), (0.26669607, True))","PySRFunction(X=>0.77387774 - Piecewise((Ey, Ey > 0.26669607), (0.26669607, True)))",5,0.5638130072532167,28
5,2.1262019,0.0026564829026166745,"min(0.56457275 - Ey, 0.5670745)","Piecewise((0.56457275 - Ey, Ey - 0.56457275 > -0.5670745), (0.5670745, True))","PySRFunction(X=>Piecewise((0.56457275 - Ey, Ey - 0.56457275 > -0.5670745), (0.5670745, True)))",25,0.8480394428115559,43
6,2.1268415,0.00033132851990971265,"min(0.5384968 - Ey, sqrt(0.34040043))","Piecewise((0.5384968 - Ey, Ey - 0.5384968 > -0.58343845433773), (0.58343845433773, True))","PySRFunction(X=>Piecewise((0.5384968 - Ey, Ey - 0.5384968 > -0.58343845433773), (0.58343845433773, True)))",35,0.8783410106375455,90
5,2.1275463,0.00341362793989238,"min(0.42211324 - Ey, 0.59877783)","Piecewise((0.42211324 - Ey, Ey - 0.42211324 > -0.59877783), (0.59877783, True))","PySRFunction(X=>Piecewise((0.42211324 - Ey, Ey - 0.42211324 > -0.59877783), (0.59877783, True)))",35,0.8783410106375455,90
13,2.1288702,0.0005173835300965859,"(max(square(0.33508348), square(0.57325184)) * ((P_dyn + DST) + Ey)) * -0.14326854",0.328617672063386*(DST + Ey + P_dyn)*(-0.14326854),PySRFunction(X=>0.328617672063386*(DST + Ey + P_dyn)*(-0.14326854)),14,0.1743114391019238,27
7,2.12978,0.0006169599619978128,"0.23968934 - max(Ey, -0.37319234 / 1.5748808)","0.23968934 - Piecewise((-0.37319234/1.5748808, Ey < -0.37319234/1.5748808), (Ey, True))","PySRFunction(X=>0.23968934 - Piecewise((-0.37319234/1.5748808, Ey < -0.37319234/1.5748808), (Ey, True)))",22,0.1468951084641263,75
5,2.129817,0.0035960330041612,"min(0.61745423 - Ey, 0.61745423)","Piecewise((0.61745423 - Ey, Ey - 0.61745423 > -0.61745423), (0.61745423, True))","PySRFunction(X=>Piecewise((0.61745423 - Ey, Ey - 0.61745423 > -0.61745423), (0.61745423, True)))",58,0.46474805073223563,27
5,2.1302934,0.0016505660229126488,(DST + Ey) * -0.033456128,(DST + Ey)*(-0.033456128),PySRFunction(X=>(DST + Ey)*(-0.033456128)),43,0.49695954912364315,116
5,2.1324096,0.0031428963212233197,"0.23968934 - max(Ey, -0.37319234)","0.23968934 - Piecewise((-0.37319234, Ey < -0.37319234), (Ey, True))","PySRFunction(X=>0.23968934 - Piecewise((-0.37319234, Ey < -0.37319234), (Ey, True)))",22,0.1468951084641263,75
7,2.1326792,0.002183412341368898,"min(-0.15017824 + (0.34091294 - Ey), 0.46856624)","Piecewise((-Ey - 0.15017824 + 0.34091294, Ey - 0.1907347 > -0.46856624), (0.46856624, True))","PySRFunction(X=>Piecewise((-Ey - 0.15017824 + 0.34091294, Ey - 0.1907347 > -0.46856624), (0.46856624, True)))",65,0.28731951273253653,23
3,2.137337,0.0114329797184133,DST * -0.031250715,DST*(-0.031250715),PySRFunction(X=>DST*(-0.031250715)),47,0.430908796623887,69
3,2.1373372,0.011432932931221869,-0.031256724 * DST,-0.031256724*DST,PySRFunction(X=>-0.031256724*DST),45,0.23506757861056546,47
3,2.1373372,0.011432932931221869,-0.031259898 * DST,-0.031259898*DST,PySRFunction(X=>-0.031259898*DST),40,0.11246947898429092,41
3,2.1373374,0.011432886144034928,-0.03127606 * DST,-0.03127606*DST,PySRFunction(X=>-0.03127606*DST),44,0.3202050920326957,52
3,2.1373374,0.011432886144034928,-0.031271845 * DST,-0.031271845*DST,PySRFunction(X=>-0.031271845*DST),43,0.49695954912364315,116
3,2.1373374,0.011432886144034928,-0.031266432 * DST,-0.031266432*DST,PySRFunction(X=>-0.031266432*DST),30,0.3165932661992695,66
3,2.1373377,0.011432815963262585,-0.031244256 * DST,-0.031244256*DST,PySRFunction(X=>-0.031244256*DST),36,0.349084613676405,113
3,2.137338,0.011432745782500035,-0.031282585 * DST,-0.031282585*DST,PySRFunction(X=>-0.031282585*DST),46,0.07003251233607233,69
3,2.1373382,0.011432698995330608,-0.031300157 * DST,-0.031300157*DST,PySRFunction(X=>-0.031300157*DST),49,0.8115558669350104,118
3,2.1373382,0.011432698995330608,-0.03130037 * DST,-0.03130037*DST,PySRFunction(X=>-0.03130037*DST),32,0.2636285355620135,89
3,2.1373382,0.011432698995330608,-0.03123987 * DST,-0.03123987*DST,PySRFunction(X=>-0.03123987*DST),31,0.6268461824356336,100
3,2.1373384,0.011432652208165445,-0.031234857 * DST,-0.031234857*DST,PySRFunction(X=>-0.031234857*DST),39,0.8660561473765993,89
3,2.1373386,0.011432605421004658,-0.03132877 * DST,-0.03132877*DST,PySRFunction(X=>-0.03132877*DST),59,0.5711549182562068,96
3,2.1373386,0.011432605421004658,-0.031318918 * DST,-0.031318918*DST,PySRFunction(X=>-0.031318918*DST),62,0.590116948523795,112
3,2.1373389,0.011432535240271718,-0.03132822 * DST,-0.03132822*DST,PySRFunction(X=>-0.03132822*DST),60,0.39290687225279325,95
3,2.1373394,0.011432418272405355,-0.031225994 * DST,-0.031225994*DST,PySRFunction(X=>-0.031225994*DST),19,0.7144065304204593,49
3,2.1373396,0.011432371485266574,-0.031360883 * DST,-0.031360883*DST,PySRFunction(X=>-0.031360883*DST),48,0.14557438936091158,58
3,2.1373408,0.0114320907625252,DST * -0.031213025,DST*(-0.031213025),PySRFunction(X=>DST*(-0.031213025)),6,0.36422786358089443,37
3,2.1373417,0.011431880220572701,-0.031447124 * DST,-0.031447124*DST,PySRFunction(X=>-0.031447124*DST),13,0.3285671800313252,37
3,2.1373425,0.011431693072244896,DST / -32.055565,DST/(-32.055565),PySRFunction(X=>DST/(-32.055565)),9,0.21518935716541243,84
3,2.1373425,0.011431693072244896,-0.031474173 * DST,-0.031474173*DST,PySRFunction(X=>-0.031474173*DST),8,0.5017644720648251,76
3,2.1373436,0.011431435743408524,-0.031182026 * DST,-0.031182026*DST,PySRFunction(X=>-0.031182026*DST),38,0.023296688461016735,37
3,2.137344,0.01143134216931899,-0.031533908 * DST,-0.031533908*DST,PySRFunction(X=>-0.031533908*DST),1,0.68273857185547,33
3,2.137344,0.01143134216931899,-0.031529866 * DST,-0.031529866*DST,PySRFunction(X=>-0.031529866*DST),57,0.7222663220937496,87
3,2.1373444,0.011431248595247082,-0.031548284 * DST,-0.031548284*DST,PySRFunction(X=>-0.031548284*DST),3,0.3897442249283468,47
3,2.1373467,0.011430710544673008,-0.031646665 * DST,-0.031646665*DST,PySRFunction(X=>-0.031646665*DST),2,0.4573629519372664,47
3,2.1373491,0.011430149101213205,-0.031726673 * DST,-0.031726673*DST,PySRFunction(X=>-0.031726673*DST),28,0.394298445987013,23
